Item,Part Name,Quantity,Source,Link,Unit Cost,Total Cost,Notes
U1,ATTiny85,1,Aliexpress,https://www.aliexpress.com/item/1005007400913382.html,1.75,1.75,Looking for cheaper ones
R4,10KΩ Resistor,1,Aliexpress,https://www.aliexpress.com/item/1005001627995396.html,0.02,0.02,"Comes in pack of 100, 1.65 per resistor value"
"J1, J2",Molex Conn,2,Aliexpress,https://aliexpress.com/item/4001254843951.html,0.04,0.08,"This is for 100 unfortunately, but I can't find anything else on aliexpress and lcsc shipping is insane"
"D1, D2, D3, D4, D5, D6",Neopixel,6,Aliexpress,https://www.aliexpress.com/item/4001345875756.html,0.03,0.18,This is assuming ordering a batch of 100
PCB,PCB,1,JLCPCB,https://jlcpcb.com/,0.84,0.84,Batch of five
CASEB,Bottom Case,1,3D Printed,NA,NA,NA,"Cura says 0g of filament lol, if done through jlc3dp with standard resin, cost 0.3"
CASET1,Top Case Body,1,3D Printed,NA,0.05,0.05,"around 3g of filament, if done through jlc3dp with standard resin, costs 0.30. This piece includes the clamp connected to the print, but it can also be printed seperately"
CASET2,Top Case Cap,1,3D Printed,NA,NA,NA,"Again, 0g of filament, will also cost 0.3 because that is the minimum cost"
TUBE,PMMA Tube,1,Aliexpress,https://www.aliexpress.com/item/1005004505505004.html,0.98,0.98,"OD 12mm, ID 10mm, 130mm long"
PAPER,Diffusion Paper,1,NA,NA,NA,NA,"The diffusion paper can be any semi transparent paper like material, I'm not including this in mine as the pmma tube serves this purpose, but if you use acrylic for example, you may want to add some form of diffusion"
Total Cost,,,,,,,
,,,,,,3.9,"Economy of scale does come into play here, especially with the attiny and the pcbs"
